stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening E:\_____VisualStudio_Projects\GameFromScratch\Allegro_Project\Debug\allegro5.cfg r
system   D            wsystem.c:738  maybe_parent_dir                 [   0.00000] Also searching E:\_____VisualStudio_Projects\GameFromScratch\Allegro_Project\
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:699  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:702  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:263  al_install_system                [   0.00000] Allegro version: 5.2.3
system   D            wsystem.c:738  maybe_parent_dir                 [   0.00278] Also searching E:\_____VisualStudio_Projects\GameFromScratch\Allegro_Project\
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.00332] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:699  load_library_at_path             [   0.00336] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:702  load_library_at_path             [   0.01450] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.17047] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1768 d3d_create_display_locked        [   0.17263] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.17268] al_display=042A8E00
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.17270] al_display->vt=01159EA0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.17569] found 160 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.17576] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17581] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17584] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17589] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17592] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17596] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17600] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17604] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17607] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17611] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17613] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17617] Score is : 897
